Tesisat;T1;T2;T3;RI;RC;;;;;;;;;
23850655;"31512,689 ";"16776,727 ";"12513,352 ";"0,000 ";"0,000 ";;;;;;;;;
23649986;"4878,537 ";"2999,828 ";"2875,299 ";"0,000 ";"0,000 ";;;;;;;;;
700590292;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23603250;"8971,699 ";"6221,927 ";"4528,751 ";"0,000 ";"0,000 ";;;;;;;;;
23841933;"935,935 ";"509,525 ";"714,547 ";"0,000 ";"0,000 ";;;;;;;;;
23097375;"21144,184 ";"13797,448 ";"11913,971 ";"0,000 ";"0,000 ";;;;;;;;;
23679193;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23222312;"4752,737 ";"2724,713 ";"3012,905 ";"0,000 ";"0,000 ";;;;;;;;;
700198911;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23234493;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
24388962;"8324,910 ";"3860,450 ";"6120,435 ";"645,716 ";"5,358 ";;;;;;;;;
23221530;"5470,900 ";"3400,880 ";"2940,208 ";"0,000 ";"0,000 ";;;;;;;;;
23234317;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23200807;"42,509 ";"20,221 ";"32,622 ";"0,000 ";"0,000 ";;;;;;;;;
23215155;"16873,997 ";"5422,744 ";"6993,891 ";"0,000 ";"0,000 ";;;;;;;;;
700736557;"120,033 ";"57,671 ";"64,206 ";"0,000 ";"0,000 ";;;;;;;;;
23900509;"1473,550 ";"1470,154 ";"825,908 ";"0,000 ";"0,000 ";;;;;;;;;
23238750;"8148,035 ";"5879,740 ";"8567,378 ";"0,000 ";"0,000 ";;;;;;;;;
22821569;"11337,447 ";"6525,371 ";"8660,493 ";"0,000 ";"0,000 ";;;;;;;;;
23635986;"5184,131 ";"3240,003 ";"3387,067 ";"0,000 ";"0,000 ";;;;;;;;;
23221747;"0,000 ";"0,010 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
700178826;"2668,695 ";"643,167 ";"856,666 ";"0,000 ";"0,000 ";;;;;;;;;
22017886;"3710,441 ";"2864,101 ";"3315,900 ";"0,000 ";"0,000 ";;;;;;;;;
23210275;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23600468;"2,420 ";"1,211 ";"1,873 ";"0,000 ";"0,000 ";;;;;;;;;
23614734;"5545,034 ";"3086,037 ";"2381,222 ";"0,000 ";"0,000 ";;;;;;;;;
23819353;"701,207 ";"501,088 ";"382,836 ";"0,000 ";"0,000 ";;;;;;;;;
700454524;"1273,690 ";"960,687 ";"961,041 ";"0,000 ";"0,000 ";;;;;;;;;
23107268;"1883,147 ";"1140,082 ";"1249,378 ";"0,000 ";"0,000 ";;;;;;;;;
23847608;"11166,519 ";"7653,441 ";"7796,441 ";"0,000 ";"0,000 ";;;;;;;;;
23675580;"4867,192 ";"2787,396 ";"4047,008 ";"0,000 ";"0,000 ";;;;;;;;;
700349007;"3372,590 ";"2217,545 ";"2118,692 ";"0,000 ";"0,000 ";;;;;;;;;
700735149;"509,818 ";"277,955 ";"396,428 ";"0,000 ";"0,000 ";;;;;;;;;
23236762;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23614308;"9231,029 ";"7760,121 ";"6233,947 ";"0,000 ";"0,000 ";;;;;;;;;
23235679;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23213208;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
22005995;"12236,088 ";"8648,654 ";"6081,703 ";"0,000 ";"0,000 ";;;;;;;;;
23609420;"6074,702 ";"4896,397 ";"4892,727 ";"0,000 ";"0,000 ";;;;;;;;;
23678129;"6894,295 ";"3417,183 ";"3129,451 ";"0,000 ";"0,000 ";;;;;;;;;
23205567;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23629393;"2077,904 ";"1122,714 ";"1284,896 ";"0,000 ";"0,000 ";;;;;;;;;
23235712;"4262,960 ";"2556,786 ";"2936,890 ";"0,000 ";"0,000 ";;;;;;;;;
22016605;"1229,274 ";"663,227 ";"739,810 ";"0,000 ";"0,000 ";;;;;;;;;
23229045;"12035,113 ";"7913,911 ";"7808,109 ";"0,000 ";"0,000 ";;;;;;;;;
23901184;"10339,457 ";"5968,264 ";"7598,287 ";"0,000 ";"0,000 ";;;;;;;;;
23625980;"8707,732 ";"6134,263 ";"4773,564 ";"0,000 ";"0,000 ";;;;;;;;;
23621920;"4656,089 ";"2831,391 ";"2877,139 ";"0,000 ";"0,000 ";;;;;;;;;
22019329;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23238731;"5453,123 ";"3362,669 ";"3584,374 ";"0,000 ";"0,000 ";;;;;;;;;
23650011;"3890,397 ";"2403,247 ";"3189,559 ";"0,000 ";"0,000 ";;;;;;;;;
24383569;"1356,838 ";"775,686 ";"819,344 ";"412,529 ";"42,626 ";;;;;;;;;
23836675;"810,498 ";"531,945 ";"588,071 ";"0,000 ";"0,000 ";;;;;;;;;
700414985;"3024,051 ";"2390,656 ";"1793,920 ";"0,000 ";"0,000 ";;;;;;;;;
23648361;"12215,839 ";"6714,558 ";"7134,500 ";"0,000 ";"0,000 ";;;;;;;;;
700773449;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23230152;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
700773714;"196,174 ";"156,979 ";"170,434 ";"0,000 ";"0,000 ";;;;;;;;;
23240226;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
22019410;"1586,538 ";"1060,194 ";"1224,343 ";"0,000 ";"0,000 ";;;;;;;;;
23236365;"5157,761 ";"3534,961 ";"3221,785 ";"0,000 ";"0,000 ";;;;;;;;;
22811591;"6398,540 ";"3742,795 ";"3682,266 ";"0,000 ";"0,000 ";;;;;;;;;
700795007;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23851888;"122,840 ";"12,258 ";"15,825 ";"0,000 ";"0,000 ";;;;;;;;;
700384912;"4248,073 ";"2538,570 ";"3456,201 ";"0,000 ";"0,000 ";;;;;;;;;
23623075;"5806,296 ";"670,051 ";"88,760 ";"0,000 ";"0,000 ";;;;;;;;;
23851736;"5793,863 ";"3318,315 ";"3368,337 ";"0,000 ";"0,000 ";;;;;;;;;
23901591;"2254,092 ";"1333,526 ";"1822,217 ";"67,395 ";"1206,809 ";;;;;;;;;
22811242;"8188,000 ";"4898,000 ";"6999,000 ";"0,000 ";"0,000 ";;;;;;;;;
23846995;"62,102 ";"59,526 ";"18,334 ";"0,000 ";"0,000 ";;;;;;;;;
23203457;"2251,022 ";"2318,261 ";"2158,011 ";"0,000 ";"0,000 ";;;;;;;;;
23214372;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23290171;"4527,612 ";"3376,861 ";"3231,101 ";"0,000 ";"0,000 ";;;;;;;;;
23821492;"4286,236 ";"7347,112 ";"10792,607 ";"0,000 ";"0,000 ";;;;;;;;;
23236277;"0,000 ";"0,000 ";"0,000 ";"0,000 ";"0,000 ";;;;;;;;;
23615692;"9587,302 ";"4881,183 ";"4115,270 ";"0,000 ";"0,000 ";;;;;;;;;
23614832;"6767,960 ";"4743,282 ";"4066,794 ";"0,000 ";"0,000 ";;;;;;;;;
23629803;"1581,996 ";"1094,162 ";"991,797 ";"0,000 ";"0,000 ";;;;;;;;;
23606568;"1099,988 ";"653,673 ";"740,737 ";"0,000 ";"0,000 ";;;;;;;;;
23221565;"1138,585 ";"617,196 ";"550,086 ";"0,000 ";"0,000 ";;;;;;;;;
